date,Atibainha-QNat,QT6,Cachoeira-QNat,PaivaCastro-Qjus,Jaguari-Qjus,PaivaCastro-Vop,QT7,PaivaCastro-QNat,Atibainha-Qjus,Atibainha-Vop,QT5,Cachoeira-Vop,Jaguari-QNat,Jaguari-Vop,Cachoeira-Qjus,ESI
2014-1-6,0.57,30.33,1.07,1.0,1.0,46.46,20.3,0.76,1.0,41.64,25.4,43.78,8.22,23.05,1.0,27.1
2013-2-12,11.39,10.13,7.38,1.0,1.0,51.99,3.0,13.44,0.25,58.45,14.2,48.45,31.08,55.07,0.25,31.1
2011-4-18,0.96,25.0,11.4,1.0,1.5,45.91,0.0,5.31,0.5,60.98,23.1,63.42,12.94,98.84,0.5,31.3
2005-1-1,3.14,22.92,1.08,1.0,1.0,51.99,21.63,3.14,0.41,46.53,27.95,31.45,22.63,28.54,0.52,29.6
2007-5-13,3.3,23.11,0.92,0.6,1.0,50.88,30.53,2.47,1.02,48.33,28.08,42.66,14.38,47.87,1.0,32.4
2011-5-14,3.04,25.0,6.65,1.0,1.0,43.17,24.0,3.63,1.0,61.19,29.4,72.09,19.26,99.75,2.0,33.0
2008-2-15,3.75,23.73,10.57,0.6,0.3,52.55,0.0,4.54,0.2,36.81,25.02,44.24,40.69,40.93,0.32,32.4
2006-2-1,4.1,15.45,8.62,1.0,1.0,49.22,16.14,8.48,0.5,37.4,23.1,46.83,46.62,45.87,0.53,31.7
2005-8-13,2.9,29.71,2.3,1.0,1.0,48.67,30.69,1.46,0.51,55.01,32.1,50.18,14.26,50.04,2.4,31.1
2010-9-12,2.9,23.49,4.43,1.0,4.5,48.11,17324.44,2.68,2.5,76.0,31.3,62.34,6.86,90.24,3.0,32.5
2013-4-10,1.09,3.23,5.05,1.0,1.0,55.34,7.5,7.12,0.25,61.83,28.0,49.36,27.71,64.34,0.25,30.2
2008-2-1,6.48,0.0,15.97,0.6,0.3,54.22,0.0,3.78,0.2,33.87,28.7,43.84,62.73,37.14,0.31,29.5
2013-12-15,3.77,25.93,2.18,1.0,2.0,46.46,21.31,1.48,1.0,45.33,30.99,43.2,12.65,27.24,1.5,30.5
2005-11-26,7.9,15.7,18.71,1.0,2.0,36.64,735.59,6.99,0.5,37.99,20.34,37.72,54.98,38.4,2.554,32.1
2013-1-27,3.46,20.05,7.94,1.0,2.0,47.56,4.3,5.28,0.25,51.95,20.94,35.94,24.69,53.73,0.25,30.1
2009-8-31,3.95,20.71,2.2,1.0,2.0,57.58,26.14,3.03,2.0,64.88,29.82,47.94,11.92,85.81,2.0,28.4
2007-9-14,1.04,26.19,1.04,0.6,2.0,54.22,26.09,2.37,1.51,49.34,28.04,44.83,8.82,35.35,2.52,30.3
2009-2-22,6.52,19.65,10.15,1.0,0.5,58.14,0.0,5.62,0.5,57.87,28.02,53.49,42.01,77.87,0.5,28.7
2004-12-18,0.99,22.39,1.08,1.0,1.0,44.26,20.11,5.46,0.41,44.73,28.06,30.08,21.11,27.55,0.48,33.0
